security_name,security_name_full,security_name_tiny,security_code
"TORSP [TQBR]","ап "Томская распределит.комп."","ТРК ап",TORSP
"TASB [TQBR]","ао"Тамбов.энергсбыт.комп."ПАО",ТамбЭнСб,TASB
"TASBP [TQBR]","ап"Тамбов.энергсбыт.комп."ПАО",ТамбЭнСб-п,TASBP
"TATN [TQBR]","ПАО "Татнефть" ао","Татнфт 3ао",TATN
"TATNP [TQBR]","ПАО "Татнефть" ап 3 вып.","Татнфт 3ап",TATNP
"TTLK [TQBR]",""Таттелеком" ПАО ао","Таттел. ао",TTLK
"CNTL [TQBR]",""Центральный Телеграф" ПАО ао",Телеграф,CNTL
"CNTLP [TQBR]",""Центральный Телеграф" ПАО ап",Телеграф-п,CNTLP
"TRCN [TQBR]","ТрансКонтейнер ПАО ао","ТрансК ао",TRCN
"TRFM [TQBR]","ПАО ТрансФин-М ао","ТрансФ ао",TRFM
"TRNFP [TQBR]","Транснефть ПАО акц.пр.","Транснф ап",TRNFP
"URKZ [TQBR]","ПАО "Уральская кузница" ао",УрКузница,URKZ
"USBN [TQBR]","БАНК УРАЛСИБ ПАО ао","УралСиб ао",USBN
"URKA [TQBR]","Уралкалий ПАО ао",Уркалий-ао,URKA
"FEES [TQBR]",""ФСК ЕЭС" ПАО ао","ФСК ЕЭС ао",FEES
"NPOF [TQBR]","ОАО "НПО Физика" ао","Физика ао",NPOF
"PHOR [TQBR]","ФосАгро ПАО ао","ФосАгро ао",PHOR
"HIMC [TQBR]","Химпром ПАО ао","Химпром ао",HIMC
"HIMCP [TQBR]","Химпром ПАО ап","Химпром ап",HIMCP
"WTCM [TQBR]",""Центр междун. торговли"ПАО ао","ЦМТ ао",WTCM
"WTCMP [TQBR]",""Центр междун. торговли"ПАО ап","ЦМТ ап",WTCMP
"PRFN [TQBR]","ЧЗПСН-Профнастил (ПАО) ао","ЧЗПСН ао",PRFN
"CHKZ [TQBR]",""ЧКПЗ" ПАО ао","ЧКПЗ ао",CHKZ
"CHMK [TQBR]",""ЧМК" ПАО ао","ЧМК ао",CHMK
"CHEP [TQBR]",""ЧТПЗ" ПАО ао","ЧТПЗ ао",CHEP
"GCHE [TQBR]","Группа Черкизово ПАО-ао",ЧеркизГ-ао,GCHE
"ELTZ [TQBR]","Электроцинк ПАО ао",Электрцинк,ELTZ
"ENRU [TQBR]",""Энел Россия" ПАО","ЭнелРос ао",ENRU
"RKKE [TQBR]","РКК Энергия им.С.П.Королева ао",ЭнергияРКК,RKKE
"UTAR [TQBR]","Авиакомания "ЮТэйр" (ПАО) ао","ЮТэйр ао",UTAR
"UNKL [TQBR]","Южно-Уральский никел. комб. ао","ЮУНК ао",UNKL
"UKUZ [TQBR]","Южный Кузбасс ПАО ао","ЮжКузб. ао",UKUZ
"UPRO [TQBR]","Юнипро ПАО ао","Юнипро ао",UPRO
"YAKG [TQBR]","Якутская топл.-энерг. комп. ао","ЯТЭК ао",YAKG
"YKENP [TQBR]","АК "Якутскэнерго" (ПАО) ап",Якутскэн-п,YKENP
"YKEN [TQBR]","АК "Якутскэнерго" (ПАО) ао",Якутскэнрг,YKEN
